SMILES,UV_RT-s,Method
FC1=CC(C#CC2=CC=C(C(N)=C2)C)=CC=C1,85.8,AM-I
NC1=CC(C#CC2=CC=CC(OC)=C2C)=CC=C1,79.2,AM-I
CC(C1=CC=C(C2=CN(N=C2)CC)C=C1)C,85.8,AM-I
CN(C)C1=CC=C(C2=CSC3=CC=CC=C32)C=C1,93.0,AM-I
O=C(C1=NC=CC=C1)C(C(C=C2)=CN=C2C)CC,54.6,AM-I
CC1=CC(C2=CC=C3C(NN=C3)=C2)=CC=C1F,79.2,AM-I
COC1=CC=CN=C1C2=CC=C(F)C(C)=C2,69.0,AM-I
CC(C1=CC=C(C2=CN(N=C2)CC)C=C1)=O,67.8,AM-I
COC1=NC(OC)=NC=C1C2=CN=C(N=C2)OC,60.0,AM-I
CC1=CC=C2C(N=CN2C3=CC=C(C=O)C=C3)=C1,63.0,AM-I
O=C(O)C1=C(N=C(C2=CC=CC=C2)S1)C,70.7007,AM-I
CN1N=C(C2=CC3=C(OCO3)C=C2)C=C1,67.2,AM-I
NC1=C(C2=CC=C(OC3=CC=CC=C3)C=C2)C=C(F)C=C1,88.8,AM-I
CC1=C(C2=CC=CC(C)=C2C)C=NN1C,78.6,AM-I
CC1=CC=C(C2=NC3=CC=CC=C3S2)C=C1,93.102276,AM-I
CC1=CC=CC(C2=CC(F)=CN=C2)=N1,63.6,AM-I
COC1=CC=CC=C1C2=NC(C)=NC3=CC=CC=C32,69.6,AM-I
OC1=CC(C(C=N2)=CC=C2OC)=CC=C1[N+]([O-])=O,77.4,AM-I
CN1N=CC=C1C2=CC3=CC=CC=C3S2,79.2,AM-I
CC1=NC=CC=C1C(C(C2=CC=C(OC)C=C2)=O)C,56.4,AM-I
COC1=NC=C(C2=CC=C([N+]([O-])=O)C=C2C)C=N1,73.500894,AM-I
CC(C1=CC=C(C2=CC=NN2C)C=C1)=O,63.6,AM-I
COC1=NC=C(C(C(C2=CC=C(C=C2)CC)=O)C)C=N1,78.6,AM-I
COC1=CC2=CC=C(C3=NC=CC=C3)C=C2C=C1,70.2,AM-I
CC1=C(C2=CC=C(C=C2Cl)Cl)C=NC=C1,68.4,AM-I
COC1=NC=C(C(C=N2)=CC=C2OC)C=C1,71.4,AM-I
OCC#CC1=CN=C(C=C1)Cl,53.4,AM-I
COC1=CC=CN=C1C2=CC=CC=C2,55.8,AM-I
COC1=NC=C(C2=NC3=CC=CC=C3C=C2)C=N1,70.2,AM-I
