SMILES,UV_RT-s,Method
FC(F)(F)C1=CN=C(NC2=CC=C(C=C2)OC)C=C1,69.6,AM-II
CC(C)NC(/C=C/C1=CC=CC2=C1C=CN=C2)=O,36.0,AM-II
ClC1=NC=CC2=C1C=C(C3=C(C)ON=C3C)C=C2,56.4,AM-II
CCC1=CC=C(C(OC)=C1)OC2=CC=CN=C2C,51.0,AM-II
Fc1ccccc1CNc1ccc2cnccc2c1,43.8,AM-II
CC(C1=CC(C2=CC=CC(C)=C2C)=CN=C1)=O,60.6,AM-II
CC(C)NC(/C=C/C1=NC2=CC=CC=C2C=C1)=O,46.2,AM-II
CC1=CC(N2C=CN=C2C)=NC3=CC=CC=C13,51.0,AM-II
O=[N+]([O-])C1=CC=C(NC2=CC(OC)=CC=C2C(O)=O)N=C1C,72.6,AM-II
CC1=C(C)C(C2=CN=CC3=C2C=CC=C3)=CC=C1,59.4,AM-II
COC1=CN=C(N(C=CC2=C3)C2=CC=C3C#N)N=C1,71.4,AM-II
CC1=CC=CC(C2=CC=C(F)C(C)=C2)=N1,50.4,AM-II
O=CC1=CC=C(C=C1OC2=CN=CC(C(C)=O)=C2)F,44.4,AM-II
O=[N+]([O-])C1=CC([N+]([O-])=O)=CC(N(CC2)CCN2C)=C1,40.2,AM-II
CC1=C(C=CC=C1NC2=CN=CC3=C2C=CC=C3)Cl,47.4,AM-II
COC1=NC=C(C(C=N2)=CC=C2OC)C=N1,49.2,AM-II
ClC1=C(C)C(OC(C=NC=C2)=C2C)=CC=C1,58.8,AM-II
CC(/C=C/C(C=C1OC)=CC=C1OC2=CC(C(OC)=O)=NC=C2)=O,52.8,AM-II
O=[N+]([O-])C1=CC=C(NC2=CC=C(C)C=C2C(O)=O)N=C1C,74.4,AM-II
CC1=CN=C(NC2=CC=C(C=C2)CC)N=C1,69.6,AM-II
CC1=C(C(OC)=O)C=CC=C1OC2=CC=CN=C2C,46.2,AM-II
CC1=NC=CC=C1OC2=CC=CC=C2C3=CC=CC=C3,56.4,AM-II
N#CC1=CC=C(NC2=CC=C(C=C2)C)N=C1,66.6,AM-II
COC(=O)C1=CC=NC(OC2=CC=C(C(C)(C)C)C=C2Cl)=C1,77.4,AM-II
FC(C1=CC=C(NC2=NC=CC=C2C)C=C1)(F)F,58.8,AM-II
CC1=CC=CC=C1NC2=NC=CC(F)=C2,44.4,AM-II
Cc1cccc(Oc2ccc(cc2Cl)C(C)(C)C)n1,78.6,AM-II
FC(F)(C1=CC=C(C=C1)OC2=CC(C(OC)=O)=NC=C2)F,60.6,AM-II
Cc1cc(C)nc(Nc2ccc3cnccc3c2)c1,41.4,AM-II
CC(C=C(C(OC)=C1OC)OC)=C1OC2=CC(C)=NC=C2,42.6,AM-II
CC1=CN=C(NC2=CC=C(C=C2)N3C=CN=C3C)N=C1,46.8,AM-II
CC1=CC(NC2N=NC=C2)CC(C)C1,46.2,AM-II
FC(F)(F)C1=CN=C(N(CC2)CCN2C)N=C1,43.8,AM-II
CC1=CC=CC=C1NC2=CC=CC=C2F,68.4,AM-II
COC1=CC=CN=C1/C=C/C(NC(C)C)=O,39.6,AM-II
O=[N+]([O-])C1=CC=C(N(CC2)CCN2C)C(C)=C1,41.4,AM-II
FC(C=C1C(C)=O)=CC=C1OC2=CC=CN=C2C,38.4,AM-II
FC1=CC(OC(C=C2)=NN=C2C)=CC(F)=C1C=O,48.0,AM-II
N#CC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=C1C(F)(F)F,69.0,AM-II
CC1=CC(C=O)=CC=C1/C=C/C(NC(C)C)=O,51.0,AM-II
CC1=CC(C)=CC(OC2=CN=CC(C(C)=O)=C2)=C1,61.8,AM-II
CC(/C=C/C(C=C1OC)=CC=C1OC(C=C2)=NN=C2C)=O,49.8,AM-II
C1(CCOC2=C3C=CN=CC3=CC=C2)=CC=CC=C1,48.6,AM-II
O=CC1=CC=C(C=C1OC)OC(C=C2)=NN=C2C,44.4,AM-II
COC(C1=CC=C(NC2=CC(C(C)=O)=CC=C2)C=C1)=O,66.6,AM-II
N#CC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=C1C,69.0,AM-II
BrC1=CC(CC)=CC=C1OC2=NC=CC(C(OC)=O)=C2,70.8,AM-II
CCOC(C=C1)=CC=C1NC2=CC3=C(C=C2)C=NC=C3,44.4,AM-II
FC1=CC(OC(C=C2)=NN=C2C)=CC=C1,49.8,AM-II
Cc1cc(C)nc(Nc2cc(F)ccn2)c1,38.4,AM-II
O=[N+]([O-])C1=CN=C(NC2=CC(OC)=CC=C2OC)C(C)=C1,70.8,AM-II
CC1=C(C(OC)=O)C=CC=C1OC2=NC=CC(C(OC)=O)=C2,63.0,AM-II
O=C1N(/C=C/C2=CC=CC3=C2C=NN3)CCC1,42.6,AM-II
