SMILES,UV_RT-s,Method
O=C(NC1=CC=CC=C1CC2=CC=CC=C2)C3=CC=C(C=C3)CN4CCN(CC4)C,61.2,AM-III
O=C(NC1=CC=C2C(C=CC=N2)=C1)C3=CC=C(C(F)(F)F)N=C3,60.0,AM-III
COC1=NC=C(NC(C2=CC3=C(C=C2)C=CC=C3)=O)C=C1,76.2,AM-III
OC(Cc1c(Cl)cccc1)=O,62.4,AM-III
O=C(NC1=CC=C2C=NC=CC2=C1)C3=COC=C3,45.6,AM-III
COC1=C(C=CC(N2CCOCC2)=C1)N(C3(C(NC4CCCCC4)=O)CCC(CC3)C5=CC=CC=C5)C(C(C=C6)=CC=C6C)=O,93.0,AM-III
CN(C(C1=CC2=CC=CC=C2S1)=O)C3=CC=CC(C)=C3,88.2,AM-III
O=[N+](C1=CN=C(NC(C2=CC=C(C(F)(F)F)N=C2)=O)C=C1)[O-],75.6,AM-III
CC1=CN=C(C=N1)NC(C2=CC=C(C=C2)C#C)=O,67.2,AM-III
CN1N=CC2=CC=C(C=C12)NC(C3=CC=CC(OC)=C3)=O,69.0,AM-III
COC1=CC=C(C=C1)CC(O)=O,57.0,AM-III
COC1=CC(OC)=CC(N(C2(C(NC3=CC=C(C=C3)Br)=O)CCOCC2)C(C4=NC=CC=C4)=O)=C1,80.4,AM-III
COC1=C(C=CC(N2CCOCC2)=C1)NC(C3=CC(I)=C(C)C=C3)=O,87.0,AM-III
CC1=CC=C(C(N(C2(C(NCC3=CC=CC=C3)=O)CCCCC2)CC4COCC4)=O)C=C1,88.8,AM-III
COC1=CC=C(NC(C2=CC3=CC(F)=CC=C3O2)=O)C=C1C,84.0,AM-III
CCN(C(CCC1=CC=C(C=C1)O)=O)C2=CC=CC=C2,70.8,AM-III
CN1N=CC2=CC=CC(NC(CC3=CC=CS3)=O)=C12,63.0,AM-III
O=C(NC1=CC=C2C=NC=CC2=C1)C3=CC=C4N=CSC4=C3,49.8,AM-III
CC1=CC=C(C=C1)OCC(O)=O,64.2,AM-III
OC(CCCOCCCCCCC)=O,84.6,AM-III
CN1C=CC2=CC(NC(C3=NC=CC=N3)=O)=CC=C12,60.6,AM-III
N#CC1=CC(NC(C2=CC3=C(C=C2)C=NC=C3)=O)=CC=C1C#N,61.8,AM-III
CC(C=C1)=CC=C1CN(C2(C(NCC3=CC=CC=C3)=O)CCCCC2)C(C(C=C4)=NC=C4F)=O,91.55217,AM-III
CC(C=C1)=CC(OC)=C1C(NCC2=C3C=CC=CC3=CC=C2)=O,85.8,AM-III
OC(CCCOC)=O,72.0,AM-III
CCCCCCOCCOCC(O)=O,72.0,AM-III
CC1=NC=CC=C1NC(COCC2=CC=CC=C2)=O,51.0,AM-III
CC1=NC=CC=C1NC(CC2=CC=C(C=C2)OC)=O,46.2,AM-III
O=C(NCC1=CC=CS1)C2=NC3=C(C=CC=C3)O2,71.4,AM-III
O=C(NCC1=CC2=C(C=C1)OCO2)C3=CC=C(C=C3)CN4CCN(CC4)C,49.2,AM-III
O=C(NC1=C(C=CC=C1)OCC2=CC=CC=C2)CC3=CC=CN=C3,63.0,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCC1)CCC3=CC=NC=C3)C4=NC=C(C(F)(F)F)C=C4,63.6,AM-III
CN1N=C2C=C(C=CC2=C1C)NC(C3=COC=C3)=O,57.6,AM-III
CCC1=CC=C(NC(C2=COC=C2)=O)C=C1,75.6,AM-III
CN1N=C2C=C(C=CC2=C1C)N(C3(C(NCC4=CC=CC=C4)=O)CCCCC3)C(C5=CC=NC=C5)=O,69.0,AM-III
C#CC1=CC=CC(NC(C2=CC=C(C(F)(F)F)N=C2)=O)=C1,80.4,AM-III
O=C(NC1=CN=CN=C1)CC2=CC=CS2,52.2,AM-III
OC(COCCOCc1ccccc1)=O,59.4,AM-III
Cc1c(CC(O)=O)cccc1,61.8,AM-III
COC1=CC=CC(CNC(C2=CC(I)=C(C)C=C2)=O)=C1,82.8,AM-III
FC1=NC=C(NC(C2=CC3=C(S2)CCC3)=O)C=C1,76.2,AM-III
OC(C1=CC=C(C=C1)OCCCC)=O,79.8,AM-III
CC1=CC(C)=NC(NC(C2=CC3=C(S2)CCC3)=O)=N1,65.4,AM-III
CC1=C(C=C(C=C1)NC(C2=CC(I)=C(C)C=C2)=O)Br,97.2,AM-III
O=C(NCCC1=CC=CS1)C2=C3OCOC3=CC=C2,74.4,AM-III
IC1=C(C)C=CC(C(NC2=CC(OCC3=CC=CC=C3)=CC=C2)=O)=C1,97.8,AM-III
O=C(NC1=CN=NC=C1)C2=CC=CC(OC)=C2,54.6,AM-III
N#CC1=CC=C(CN(C2(C(NC3=CC=C4C=CC=CC4=C3)=O)CCCCC2)C(C5CCCO5)=O)C=C1,87.6,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CC3=CC=CC=C3)C4=CC=C(C=C4)N5CCCCC5,103.8,AM-III
O=C(NCCC1=CC=CC=C1)C2=NC3=C(C=CC=C3)O2,77.4,AM-III
O=C(NCCC1CCN(CC1)CC2=CC=CC=C2)C3=CC=C(C(F)(F)F)N=C3,56.4,AM-III
CC1=CN=C(NC(C2=NC=CC=N2)=O)C=C1,46.8,AM-III
CC1=CN=C(NC(C2=CC=C(O2)C)=O)C=C1,55.8,AM-III
N#CC1=CC(NC(C2=CN=C(C#N)C=C2)=O)=CC=C1C#N,69.6,AM-III
N#CC(C=C1)=NC=C1NC(CCC2=CC=C(C=C2)O)=O,60.6,AM-III
O=C(NCCC(C1=CC=CC=C1)C2=CC=CC=C2)C3=CC4=C(C=C3)C=NC=C4,73.8,AM-III
COC1=C(C=CC(N2CCOCC2)=C1)NC(COCC3=CC=CC=C3)=O,78.0,AM-III
COC1=CC=C(CNC(C2=CC=C3N=CC=CC3=C2)=O)C=C1,58.8,AM-III
O=C(N(C1(C(NC2=CC=C3C=CC=CC3=C2)=O)CCC(CC1)C4=CC=CC=C4)C5=CC=C6SC=NC6=C5)C7CCOCC7,92.4,AM-III
O=C(NC1=CC2=C(N=CO2)C=C1)C3=CC4=CC(OC)=C(C=C4S3)OC,70.8,AM-III
COCC1=CC=C(C=C1)NC(C2=CN=C(C=N2)C)=O,65.4,AM-III
CC1=C(C)C(NC(C2=CN=C(C=N2)C)=O)=CC=C1,75.0,AM-III
N#CC1=CC=C(CN(C(C2=NC=CC=C2)(C(NC3=CC=C4C=CC=CC4=C3)=O)C)C(C5=CC=CO5)=O)C=C1,89.4,AM-III
CC(C)(C)C1=CC=CC=C1NC(C2=CN=CC3=C2C=CC=C3)=O,75.0,AM-III
CCCCN(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)C(C3=CC=C4OCCOC4=C3)=O,91.8,AM-III
FC(C1=CC=C(NC(C2=CC3=CC=CC=C3N2C)=O)C=C1)(F)F,93.0,AM-III
IC1=C(C)C=CC(C(NCCC2CCN(CC2)CC3=CC=CC=C3)=O)=C1,64.2,AM-III
O=C(NC1=CC=C(C2CCCCC2)C=C1)C3=CC4=C(C=C3)C=NC=C4,87.6,AM-III
O=C(NCC1=CC=CC=C1)C2=CC=C(C(F)(F)F)N=C2,73.2,AM-III
IC1=C(C)C=CC(C(NC2=CC=C3C(C=CC=N3)=C2)=O)=C1,72.6,AM-III
OC(C1=CC=C(C=C1C)[N+]([O-])=O)=O,64.8,AM-III
CC1=C(C=C(C=C1)NC(C2=NC=CC(OC)=C2)=O)Br,90.0,AM-III
O=C(NC1=CN=CN=C1)COCC2=CC=CC=C2,59.4,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CCC3=CC=NC=C3)C4=NC=C(C(F)(F)F)C=C4,66.6,AM-III
COC1=C(C=CC(N2CCOCC2)=C1)N(C3(C(NC4CCCCC4)=O)CCCC3)C(C(C=C5)=CC=C5C)=O,85.2,AM-III
OC(COCCOCC(CCCC)CC)=O,66.0,AM-III
IC1=C(C)C=CC(C(NC2=NC=CC=N2)=O)=C1,66.6,AM-III
IC1=C(C)C=CC(C(NC2=CC=C3CCCC3=C2)=O)=C1,95.4,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CC3=CC=CC=C3)C4=CC=C5OCCOC5=C4,90.6,AM-III
O=C(N(C1(C(NC2=CC=C3C=CC=CC3=C2)=O)CCC(CC1)C4=CC=CC=C4)C5=CC=C(C=C5)OCCN6CCCCC6)C7=NC=C(C(F)(F)F)C=C7,80.4,AM-III
OC(Cc1ccc(Br)cc1)=O,67.2,AM-III
COc1cc(CC(O)=O)ccc1,57.6,AM-III
CSC1=CC=C(C=C1)N(C2(C(NC3=CC=C(C=C3)Br)=O)CCC4(OCCO4)CC2)C(C5=CC=C6OCCOC6=C5)=O,89.4,AM-III
CCOC(C=C1)=CC=C1NC(C2=CC=C(C(F)(F)F)N=C2)=O,79.2,AM-III
CN1CCN(C2=NC=C(C=C2)N(C3(C(NCC4=CC=CC=C4)=O)CCCCC3)C(C5CCOCC5)=O)CC1,55.8,AM-III
O=[N+](C1=CN=C(NC(C2=NC=CN=C2)=O)C=C1)[O-],64.8,AM-III
FC(C1=CC=C(NC(C(C)(C2=CC=CC=C2)C)=O)C=C1)(F)F,91.8,AM-III
COCC1=CC=C(C=C1)NC(C(C)(C2=CC=CC=C2)C)=O,79.2,AM-III
O=C(NC1=CC=C(C2CCCCC2)C=C1)C3=CC4=C(C=C3)C=CC=C4,105.0,AM-III
CC(C=C1)=CC=C1CN(C2(C(NCC3=CC=CC=C3)=O)CCCCC2)C(C4=CC=C5OCCOC5=C4)=O,93.6,AM-III
OC(CCCc1ccccc1)=O,67.8,AM-III
CC1=CC(C)=CC(NC(C2=COC=C2)=O)=C1,75.0,AM-III
CC(OC1=CC=C(C=C1)NC(C2=CC3=CC(OC)=C(C=C3S2)OC)=O)C,84.0,AM-III
CN1N=CC2=CC=C(C=C12)NC(C3=CC4=C(S3)CCC4)=O,78.0,AM-III
O=C(NC1=CC2=C(OCO2)C=C1)C3=CC4=CC(F)=CC=C4O3,78.6,AM-III
OC(C1=CC=C(C(F)=C1)C)=O,67.2,AM-III
CC1=C(C)C(NC(CC2=CC=CN=C2)=O)=CC=C1,48.6,AM-III
O=C(NC1=CC=C2CCCC2=C1)C3=CC=C(C(F)(F)F)N=C3,84.6,AM-III
CN(C(C1=CC=C(C(F)(F)F)N=C1)=O)C2=CC=CC=C2OC,75.0,AM-III
OC(Cc1cc(Cl)ccc1)=O,65.4,AM-III
O=C(NC1=CC=C2N=CC=CC2=C1)C3=CC=NC(C(F)(F)F)=C3,61.2,AM-III
O=C(NC1=CC=C2N=CC=CC2=C1)C3=CC=C(C=C3C)[N+]([O-])=O,61.2,AM-III
BrC1=CN=C(C=C1)NC(C(C)(C2=CC=CC=C2)C)=O,90.6,AM-III
O=C(N1CC2=CC=CC=C2CC1)CCC3=CC=C(C=C3)O,69.0,AM-III
O=C(N(C1(C(NC2=CC=C3C=CC=CC3=C2)=O)CCC4(OCCO4)CC1)C5=CC=C(C=C5)OCCN6CCCCC6)C7=NC=C(C(F)(F)F)C=C7,71.4,AM-III
CC(C)CN(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)C(C3=CC=C4OCCOC4=C3)=O,93.0,AM-III
CC1=C(C=CC(NC(C2=CC=C3C=COC3=C2)=O)=C1)C#N,79.2,AM-III
CN1N=C2C=C(C=CC2=C1C)NC(C3CC(OC)(OC)C3)=O,56.4,AM-III
COC1=NN=C(C=C1)NC(CC2=CC=C(C=C2)OC)=O,63.6,AM-III
COC1=C(C=CC(N2CCOCC2)=C1)NC(C3=CC4=CC=CC=C4S3)=O,82.8,AM-III
CC(C=C1)=CC=C1CNC(C2=NC=CC(OC)=C2)=O,76.8,AM-III
O=C(NC1=CC=C(N2CCOCC2)C=C1)C3=NOC(C4=CC=CS4)=C3,79.2,AM-III
COC1=CC(NC(C2CC(OC)(OC)C2)=O)=C3N=CC=CC3=C1,76.8,AM-III
IC1=C(C)C=CC(C(NC2=CC=C3OCCOC3=C2)=O)=C1,85.2,AM-III
COC1=CC=C(NC(CCC2=NC=CC=C2)=O)C=C1OC,39.6,AM-III
