SMILES,UV_RT-s,Method
Cc1ccc(Oc2ccc(cc2[N+]([O-])=O)C(C)(C)C)nc1,112.2,AM-IV
Cc1ccc(Oc2cc(ccc2F)C(F)(F)F)nc1,109.2,AM-IV
CC1=CC=CC(C)=C1N(C=N2)C3=C2C=CC=C3,73.8,AM-IV
O=C(NC(C=C1)=NC=C1Cl)C2=C(N=CC(Br)=C2)OC,70.2,AM-IV
O=C(NC(C=C1)=NC=C1Cl)CC2=CC=C3C(OCO3)=C2,83.4,AM-IV
O=C(NC(C=C1)=NC=C1Cl)COC2=CC=CC=C2,88.8,AM-IV
O=C1C2=C(OCC3=C1C=CC=C3)C=CC(CC(NC(C)(C#C)C)=O)=C2,84.0,AM-IV
O=C(NC(C=C1)=NC=C1[N+]([O-])=O)C2=C(C3=CC=CC=C3O2)C,98.4,AM-IV
O=C(NS(C(C=C1)=CC=C1C)(=O)=O)CC2=CC=C(C=C2)C,86.4,AM-IV
O=C(NS(C(C=C1)=CC=C1C)(=O)=O)C2=CC=C3N=C(C=CC3=C2)C,63.6,AM-IV
O=C(NS(C(C=C1)=CC=C1C)(=O)=O)C2C3=C(C=CC=C3)OC4=C2C=CC=C4,91.8,AM-IV
O=C(NS(C(C=C1)=CC=C1C)(=O)=O)CC2=CC=C3C(OCO3)=C2,80.4,AM-IV
O=C(NS(C(C=C1)=CC=C1C)(=O)=O)C(C2=CC=CC=C2)C3=CC=CC=C3,93.6,AM-IV
O=C(NCC1=CC=C(C=C1)Br)C2CCN(CC2)C(OCC3=CC=CC=C3)=O,91.2,AM-IV
O=C(NC(C=C1OC)=CC=C1OC)C(C2=CC=CC=C2)C3=CC=CC=C3,90.0,AM-IV
O=C(NC(C=C1)=NC=C1C)C2=CC3=C(C=CC=C3)S2,87.0,AM-IV
O=C(NC(C=C1)=NC=C1C)C2=CC=C3OCCOC3=C2,67.2,AM-IV
FC(F)(F)C1=CC=C(C=C1)CC(NC(C=C2)=CC=C2OC(C=C3)=CC=C3C)=O,104.4,AM-IV
CC(C1=CC=CC=C1)(C(NCC2=CC=C(C=C2F)F)=O)C,90.6,AM-IV
O=C(NC1=CC(OCC)=NC=C1)CC2=CC=C3C(OCO3)=C2,71.4,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)[C@@H]2CC3(CC3)CN2C(OC(C)(C)C)=O,84.6,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)C2=CC=CC=C2CC3=CC=CC=C3,87.6,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)[C@H]2[C@@H](C2)C3=CC=CC=C3,85.8,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)/C=C/C2=CC=CC=C2,82.8,AM-IV
O=C1C2=C(OCC3=C1C=CC=C3)C=CC(CC(NC(C=C4)=CC=C4C(C)=O)=O)=C2,87.0,AM-IV
O=C(NC1=NC=C(Cl)C=C1)CC2=CC=C(C=C2)C,90.6,AM-IV
