SMILES,UV_RT-s,Method
N#CC1=CC=C(N2C=NC3=CC(C)=CC=C32)C=C1C(F)(F)F,65.4,AM-V
CC1=NC=CC(NC2CCCC2)=C1,47.4,AM-V
CC1=NC=CC(NC2CCCCC2)=C1,50.4,AM-V
CC1=NC=CC(NCC2CCCCC2)=C1,54.0,AM-V
CC1=NC=C(NC2CCCC2)C=C1,47.4,AM-V
CC1=NC=C(NC2CCCCC2)C=C1,50.4,AM-V
CC1=NC=C(NCC2CCCCC2)C=C1,54.0,AM-V
CC1=NC=C(N(CCC2)CC2C)C=C1,48.6,AM-V
CC1=NC=C(N(C2CCCCC2)C)C=C1,51.0,AM-V
CC1=NC=C(N(C(C)C)CCOC)C=C1,45.0,AM-V
CC1=CN=C(N(CCC2)CC2C)C=C1,48.0,AM-V
CC1=NC=CC=C1NC2CCCC2,47.4,AM-V
CC1=NC=CC=C1NC2CCCCC2,51.0,AM-V
CC1=NC=CC=C1NCC2CCCCC2,54.6,AM-V
CC1=NC=CC=C1N(CCC2)CC2C,48.6,AM-V
CC1=NC=CC=C1N(C2CCCCC2)C,51.0,AM-V
COC1=CN=C(NC2CCCC2)C=C1,46.8,AM-V
COC1=CC=CN=C1NC2CCCCC2,41.4,AM-V
COC1=CN=CC(NC2CCCC2)=C1,50.4,AM-V
COC1=CN=CC(NC2CCCCC2)=C1,53.4,AM-V
COC1=CN=CC(NCC2CCCCC2)=C1,57.0,AM-V
COC1=CN=CC(N(CCC2)CC2C)=C1,53.4,AM-V
COC1=CN=CC(N(C2CCCCC2)C)=C1,55.2,AM-V
C1(NCC2CCCCC2)=CN3C(N=C1)=CC=N3,55.8,AM-V
CC(C1=CC(NC2CCCCC2)=CN=C1)=O,44.4,AM-V
C1(NC2CCCCC2)=CN=CC3=C1C=CC=C3,49.2,AM-V
CN1CCN(C2=CN=CC3=C2C=CC=C3)CC1,48.6,AM-V
C1(NCC2CCCCC2)=NC3=CC=CC=C3C=C1,56.4,AM-V
CC1CN(C2=NC3=CC=CC=C3C=C2)CCC1,51.0,AM-V
CC(=O)C1=CC(OC2=CC(C(C)N(C)C)=CC=C2)=CN=C1,46.8,AM-V
COC1=NC=C(C=C1)NC2=CC=C(C=C2)C,66.0,AM-V
CC(NC1=CC(NC2=CC=C(C=C2)C)=CC=C1)=O,63.0,AM-V
CC1=C(C)C=CC=C1NC2=CC=C(C=C2)C,74.4,AM-V
CC(C=C1)=CC=C1NC2=CC=C(C=C2)N3C4=C(C=CC=C4)C5=C3C=CC=C5,84.6,AM-V
CC(C)COC1=CC(Br)=CC(NC2=CC=C(C)C=C2)=C1,81.0,AM-V
COC(C1=CC=C(NC2=CC=C(CC)C=C2)C=C1)=O,70.8,AM-V
COC1=NC=CC=C1NC2=CC=C(CC)C=C2,72.0,AM-V
COC1=NC=C(NC2=CC=C(CC)C=C2)C=C1,68.4,AM-V
CC1=CC(NC2=CC=C(CC)C=C2)=CC=C1F,74.4,AM-V
CCOC1=CC=C(NC2=CC=C(CC)C=C2)C=N1,70.2,AM-V
CC(C)COC1=CC(Br)=CC(NC2=CC=C(CC)C=C2)=C1,82.8,AM-V
COC1=NC=C(NC2=CC=CC=C2C)C=C1,65.4,AM-V
CC(C1=CC(NC2=CC=CC=C2C)=CC=C1)=O,66.0,AM-V
CC(NC1=CC(NC2=CC=CC=C2C)=CC=C1)=O,62.4,AM-V
FC1=NC=C(NC2=CC(C#C)=CC=C2)C=C1,59.4,AM-V
CCOC1=CC=C(NC2=CC(C#C)=CC=C2)C=N1,64.8,AM-V
CC(NC1=CC(NC2=CC(C#C)=CC=C2)=CC=C1)=O,57.6,AM-V
