SMILES,UV_RT-s,Method
COC1=NN=C(C=C1)NC(C2=CC=C3N=CC=NC3=C2)=O,65.4,AM-VI
ClC(C=C1)=CC=C1C2=C(CC(C)C3=C4C=CC=C3)C4=NC5=CC=CC=C25,133.8,AM-VI
ClC1=CC=C2C(C3=CC=CC=C3)=C4CCC5=CC=CC=C5C4=NC2=C1,139.2,AM-VI
ClC1=CC=C2C(C3=CC=CC=C3)=C(CC(C)C4=C5C=CC=C4)C5=NC2=C1,144.6,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3)=C4CCC5=CC=CC=C5C4=N2)=C1,136.8,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3)=C(CC(C)C4=C5C=CC=C4)C5=N2)=C1,142.2,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3F)=C(CC(C)C4=C5C=CC=C4)C5=N2)=C1,135.0,AM-VI
BrC1=CC=C2C(C(C3=CC=CC=C3F)=C(CC(C)C4=C5C=CC=C4)C5=N2)=C1,137.4,AM-VI
CC1=C(C(OC(C)(C)C)=O)C(C)=NC2=CC=CC=C12,87.6,AM-VI
CC1=C(COC2=C3C=CC=C2)C3=NC4=CC=CC=C14,100.8,AM-VI
CC(C1=CC=CC=C1N=C2CBr)=C2C(OCC)=O,96.0,AM-VI
CC1=C(CC2=C3C=CC(F)=C2)C3=NC4=CC=CC=C14,82.2,AM-VI
CC1=CC(C2=CC=C(C)C=C2)=NC3=CC=CC=C13,88.2,AM-VI
CC1=CC(C2=CC=C(F)C=C2)=NC3=CC=CC=C13,95.4,AM-VI
C1(C2=CC=CC=C2)=C3CCC4=CC=CN=C4C3=NC5=CC=CC=C15,78.6,AM-VI
CCC1=C(C2=CC=CC=C2N=C1CCC)C3=CC=CC=C3,87.0,AM-VI
C1(C2=CC=CC=C2)=C(COC3=C4C=CC=C3)C4=NC5=CC=CC=C15,127.8,AM-VI
FC1=CC2=C(C=C1)C3=NC4=CC=CC=C4C(C5=CC=CC=C5)=C3C2,108.6,AM-VI
CC(NC1CC2=C(C3=CC=CC=C3N=C2CC1)C4=CC=CC=C4)=O,66.0,AM-VI
CC(C=C1)=CC=C1C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2,117.6,AM-VI
