SMILES,UV_RT-s,Method
BrC(C=C1)=CC=C1C2=CC(C(C=C3)=CC=C3Cl)=NC4=CC=CC=C24,138.0,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=C(Cl)C(C)=C3)=NC4=CC=CC=C24,147.6,AM-VII
BrC(C=C1)=CC=C1C2=CC(C(C=C3OC)=CC=C3OC)=NC4=CC=CC=C24,112.8,AM-VII
BrC(C=C1)=CC=C1C2=CC(C(C=C3)=CC=C3Br)=NC4=CC=CC=C24,141.0,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=CC(O)=C3)=NC4=CC=CC=C24,106.2,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC(C)=CC(C)=C3)=NC4=CC=CC=C24,136.2,AM-VII
ClC(C=C1)=CC=C1C2=CC(C(C=C3OC)=CC=C3OC)=NC4=CC=CC=C24,110.4,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC=CC(O)=C3)=NC4=CC=CC=C24,105.0,AM-VII
ClC(C=C1)=CC=C1C2=CC(C(C=C3)=CC=C3C#N)=NC4=CC=CC=C24,117.0,AM-VII
CC1=CC(C(C=C2)=CC=C2Cl)=NC3=CC=CC=C13,107.4,AM-VII
CC1=CC(C2=CC=C(Cl)C(C)=C2)=NC3=CC=CC=C13,112.2,AM-VII
CC1=CC(C(C=C2)=CC=C2Br)=NC3=CC=CC=C13,109.8,AM-VII
CC1=CC(C2=CC=C(C=C2)I)=NC3=CC=CC=C13,112.8,AM-VII
CC1=CC(C2=CC=CC(O)=C2)=NC3=CC=CC=C13,70.8,AM-VII
CC1=CC(C(C=C2)=CC=C2C#N)=NC3=CC=CC=C13,99.6,AM-VII
CC1=CC(C)=CC(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)=C1,123.0,AM-VII
ClC1=CC=C(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)C=C1,127.2,AM-VII
CC1=CC(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)=CC=C1Cl,130.8,AM-VII
COC1=CC=C(C=C1OC)C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2,102.6,AM-VII
BrC1=CC=C(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)C=C1,126.6,AM-VII
IC(C=C1)=CC=C1C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2,130.2,AM-VII
OC1=CC(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)=CC=C1,97.2,AM-VII
N#CC1=CC=C(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)C=C1,112.2,AM-VII
CC1=CC(C2=CC(C)=CC(C)=C2)=NC3=CC=C(Br)C=C13,123.6,AM-VII
CC1=CC(C(C=C2)=CC=C2Cl)=NC3=CC=C(Br)C=C13,123.0,AM-VII
CC1=CC(C(C=C2OC)=CC=C2OC)=NC3=CC=C(Br)C=C13,103.2,AM-VII
CC1=CC(C(C=C2)=CC=C2Br)=NC3=CC=C(Br)C=C13,124.8,AM-VII
CC1=CC(C2=CC=C(C=C2)I)=NC3=CC=C(Br)C=C13,132.6,AM-VII
CC1=CC(C(C=C2)=CC=C2C#N)=NC3=CC=C(Br)C=C13,110.4,AM-VII
CC1=CC(C(C=C2)=CC=C2Cl)=NC3=CC(OC)=C(OC)C=C13,87.6,AM-VII
CC1=CC(C2=CC=C(Cl)C(C)=C2)=NC3=CC(OC)=C(OC)C=C13,91.2,AM-VII
CC1=CC(C(C=C2)=CC=C2Br)=NC3=CC(OC)=C(OC)C=C13,90.6,AM-VII
CC1=CC(C2=CC=C(C=C2)I)=NC3=CC(OC)=C(OC)C=C13,93.6,AM-VII
CC1=CC(C2=CC=CC(O)=C2)=NC3=CC(OC)=C(OC)C=C13,66.6,AM-VII
CC1=CC(C(C=C2)=CC=C2C#N)=NC3=CC(OC)=C(OC)C=C13,86.4,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(CCCC4)C4=N2)=C1,88.8,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(CC4=C5C=CC=C4)C5=N2)=C1,112.2,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(C(C4=CC=CC=C4)=O)C(C5=CC=CC=C5)=N2)=C1,111.0,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(C(CC(C)(C4)C)=O)C4=N2)=C1,102.0,AM-VII
FC1=CC=C(N=C2C3=CC=CC=C3)C(C(C4=CC=CC=C4)=C2C(C)=O)=C1,103.8,AM-VII
FC1=CC=C(N=C2CC)C(C(C3=CC=CC=C3)=C2C(CC)=O)=C1,107.4,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(CC(C)(CC4)C)C4=N2)=C1,100.2,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(CCC4)C4=N2)=C1,95.4,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(C(CC(C4)C5=CC=CC=C5)=O)C4=N2)=C1,106.8,AM-VII
FC1=CC=C(N=C2C)C(C(C3=CC=CC=C3)=C2C(C)=O)=C1,95.4,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(CC4=C5C=CC(C)=C4)C5=N2)=C1,116.4,AM-VII
FC1=CC=C(N=C2CC3)C(C(C4=CC=CC=C4)=C2CN3CC5=CC=CC=C5)=C1,77.4,AM-VII
FC1=CC=C(N=C2CC)C(C(C3=CC=CC=C3)=C2C(OCC)=O)=C1,109.8,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(C(OCC=C)=O)C(C)=N2)=C1,104.4,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(C(OC)=O)C(CC)=N2)=C1,105.0,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(C(C4)=O)C(CC4C)=N2)=C1,99.0,AM-VII
FC1=CC=C(N=C2CC3)C(C(C4=CC=CC=C4)=C2CC3OC)=C1,86.4,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C4CCC5=CC=CC=C5C4=N2)=C1,125.4,AM-VII
FC1=CC=C(N=C2C)C(C(C3=CC=CC=C3)=C2C(OCC)=O)=C1,102.6,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=C(C)C=C4)=N2)=C1,123.0,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=C(F)C=C4)=N2)=C1,118.8,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CC(OC)=C4)=N2)=C1,116.4,AM-VII
CC1=C(CCCC2)C2=NC3=CC(OC)=C(OC)C=C13,64.8,AM-VII
CC1=C(CSCC2)C2=NC3=CC(OC)=C(OC)C=C13,62.4,AM-VII
CC1=C(CC2=C3C=CC=C2)C3=NC4=CC(OC)=C(OC)C=C14,72.0,AM-VII
CC1=C(C(C2=CC=CC=C2)=O)C(C3=CC=CC=C3)=NC4=CC(OC)=C(OC)C=C14,93.0,AM-VII
CC1=C(C(CC(C)(C2)C)=O)C2=NC3=CC(OC)=C(OC)C=C13,70.8,AM-VII
CC(C1=CC(OC)=C(C=C1N=C2CC)OC)=C2C(CC)=O,68.4,AM-VII
CC1=C(CC(C)(CC2)C)C2=NC3=CC(OC)=C(OC)C=C13,72.0,AM-VII
CC1=C(CCC2)C2=NC3=CC(OC)=C(OC)C=C13,61.8,AM-VII
CC(C1=CC(OC)=C(C=C1N=C2C)OC)=C2C(C)=O,58.2,AM-VII
CC1=C(CC2=C3C=CC(C)=C2)C3=NC4=CC(OC)=C(OC)C=C14,75.0,AM-VII
CC(C1=CC(OC)=C(C=C1N=C2CC3)OC)=C2CN3CC4=CC=CC=C4,61.8,AM-VII
CC(C1=CC(OC)=C(C=C1N=C2CC)OC)=C2C(OCC)=O,73.2,AM-VII
CC1=C(C(OCC=C)=O)C(C)=NC2=CC(OC)=C(OC)C=C12,72.0,AM-VII
CC1=C(C(OC)=O)C(CC)=NC2=CC(OC)=C(OC)C=C12,68.4,AM-VII
CC1=C(C(C2)=O)C(CC2C)=NC3=CC(OC)=C(OC)C=C13,66.6,AM-VII
CC(C1=CC(OC)=C(C=C1N=C2CC3)OC)=C2CC3OC,61.8,AM-VII
CC1=C2CCC3=CC=CC=C3C2=NC4=CC(OC)=C(OC)C=C14,75.0,AM-VII
CC1=C(CC(C)C2=C3C=CC=C2)C3=NC4=CC(OC)=C(OC)C=C14,79.2,AM-VII
CC(C1=CC(OC)=C(C=C1N=C2C)OC)=C2C(OCC)=O,68.4,AM-VII
CC1=CC(C2=CC=C(C)C=C2)=NC3=CC(OC)=C(OC)C=C13,75.6,AM-VII
CC1=CC(C2=CC=C(F)C=C2)=NC3=CC(OC)=C(OC)C=C13,76.8,AM-VII
CC1=CC(C2=CC=CC(OC)=C2)=NC3=CC(OC)=C(OC)C=C13,75.0,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=C(C)C(Br)=C3)=NC4=CC=CC=C24,151.2,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=CC(C)=C3)=NC4=CC=CC=C24,130.8,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=C(CC)C=C3)=NC4=CC=CC=C24,138.0,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3OC)=NC4=CC=CC=C24,112.8,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=CC(C(F)(F)F)=C3)=NC4=CC=CC=C24,133.8,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC=C(C)C(Br)=C3)=NC4=CC=CC=C24,147.6,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC=C(O)C=C3C)=NC4=CC=CC=C24,99.0,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC=CC(F)=C3)=NC4=CC=CC=C24,125.4,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC=C(CC)C=C3)=NC4=CC=CC=C24,134.4,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3OC)=NC4=CC=CC=C24,112.2,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC(F)=CC(F)=C3)=NC4=CC=CC=C24,130.2,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC=CC(C(F)(F)F)=C3)=NC4=CC=CC=C24,132.6,AM-VII
CC1=CC(C2=CC=C(O)C=C2C)=NC3=CC=CC=C13,67.2,AM-VII
CC1=CC(C2=CC=CC(C)=C2)=NC3=CC=CC=C13,91.8,AM-VII
CC1=CC(C2=CC=C(CC)C=C2)=NC3=CC=CC=C13,96.6,AM-VII
CC1=CC(C2=CC=CC=C2OC)=NC3=CC=CC=C13,71.4,AM-VII
CC1=CC(C2=CC=CC(C(F)(F)F)=C2)=NC3=CC=CC=C13,112.8,AM-VII
CC1=CC(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)=CC=C1,120.0,AM-VII
FC(F)(F)C1=CC(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)=CC=C1,126.0,AM-VII
CC1=CC(C2=CC=CC(C)=C2)=NC3=CC=C(Br)C=C13,119.4,AM-VII
CC1=CC(C2=CC=C(CC)C=C2)=NC3=CC=C(Br)C=C13,125.4,AM-VII
CC1=CC(C2=CC=CC=C2OC)=NC3=CC=C(Br)C=C13,101.4,AM-VII
CC1=CC(C2=CC=CC(C(F)(F)F)=C2)=NC3=CC=C(Br)C=C13,124.8,AM-VII
CC1=CC(C2=NC3=CC=CC=C3C=C2)=CC=C1,100.2,AM-VII
CCC(C=C1)=CC=C1C2=NC3=CC=CC=C3C=C2,105.6,AM-VII
COC1=CC=CC=C1C2=NC3=CC=CC=C3C=C2,75.6,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=C(O)C=C4C)=N2)=C1,108.0,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CC(C)=C4)=N2)=C1,135.6,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CC(F)=C4)=N2)=C1,130.8,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=C(CC)C=C4)=N2)=C1,143.4,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CC=C4OC)=N2)=C1,120.0,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC(F)=CC(F)=C4)=N2)=C1,136.2,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CC(C(F)(F)F)=C4)=N2)=C1,138.6,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=C(C)C(Br)=C4)=N2)=C1,148.2,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=C(O)C=C4C)=N2)=C1,106.8,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC(C)=C4)=N2)=C1,129.0,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC(F)=C4)=N2)=C1,125.4,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=C(CC)C=C4)=N2)=C1,135.6,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC=C4OC)=N2)=C1,117.0,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC(F)=CC(F)=C4)=N2)=C1,129.6,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC(C(F)(F)F)=C4)=N2)=C1,132.0,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=C(C)C(Br)=C4)=N2)=C1,151.8,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=C(O)C=C4C)=N2)=C1,108.0,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC(C)=C4)=N2)=C1,131.4,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC(F)=C4)=N2)=C1,127.2,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC=C4OC)=N2)=C1,118.8,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=CC(C4=CC=C(C)C(Br)=C4)=N2)=C1,133.8,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=CC(C4=CC=C(O)C=C4C)=N2)=C1,109.8,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=CC(C4=CC=CC(F)=C4)=N2)=C1,130.2,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=CC(C4=CC=C(CC)C=C4)=N2)=C1,142.2,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=CC(C4=CC=CC=C4OC)=N2)=C1,121.2,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=CC(C4=CC=CC(C(F)(F)F)=C4)=N2)=C1,137.4,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CC(C)=C4)=N2)=C1,124.8,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CC=C4OC)=N2)=C1,112.2,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=CN3C)=NC4=CC=CC=C24,123.0,AM-VII
BrC(C=C1)=CC=C1C2=C(C(OC)=O)C(COC)=NC3=CC=CC=C23,102.0,AM-VII
BrC(C=C1)=CC=C1C2=C(C(OC)=O)C(C(C)(C)C)=NC3=CC=CC=C23,127.2,AM-VII
ClC(C=C1)=CC=C1C2=C(C(OC)=O)C(COC)=NC3=CC=CC=C23,100.8,AM-VII
ClC(C=C1)=CC=C1C2=C(C(OC)=O)C(C(C)(C)C)=NC3=CC=CC=C23,124.8,AM-VII
CC1=C(C(OCC)=O)C(C(F)(F)F)=NC2=CC=CC=C12,99.6,AM-VII
CC1=C(C(OC)=O)C(COC)=NC2=CC=CC=C12,80.4,AM-VII
C1(C2=CC=CC=C2)=CC(C3=CC=CO3)=NC4=CC=CC=C14,103.8,AM-VII
COCC1=NC2=CC=CC=C2C(C3=CC=CC=C3)=C1C(OC)=O,94.8,AM-VII
CC1=C(C(OC)=O)C(COC)=NC2=CC=C(Br)C=C12,93.0,AM-VII
CC1=C(C(OC)=O)C(C(C)(C)C)=NC2=CC=C(Br)C=C12,118.8,AM-VII
COCC1=NC2=CC=CC=C2C=C1C(OC)=O,76.2,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CN4C)=N2)=C1,125.4,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=C(C(OC)=O)C(COC)=N2)=C1,103.8,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CO4)=N2)=C1,111.6,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CN4C)=N2)=C1,122.4,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=C(C(OC)=O)C(COC)=N2)=C1,102.6,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3Cl)=CC(C4=CC=CO4)=N2)=C1,115.8,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CN4C)=N2)=C1,117.6,AM-VII
FC1=CC=C2C(C(C3=CC=CC=C3)=C(C(OC)=O)C(COC)=N2)=C1,97.8,AM-VII
CC1=CC(C2=CC=CO2)=NC3=CC(OC)=C(OC)C=C13,69.6,AM-VII
CC(C1=CC(OC)=C(C=C1N=C2C(F)(F)F)OC)=C2C(OC)=O,93.0,AM-VII
CC1=C(C(OC)=O)C(COC)=NC2=CC(OC)=C(OC)C=C12,73.8,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3OCC)=NC4=CC=CC=C24,120.6,AM-VII
BrC(C=C1)=CC=C1C2=CC(C(C=C3)=CC=C3C#C)=NC4=CC=CC=C24,126.6,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC(C)=CC=C3C)=NC4=CC=CC=C24,127.8,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3OCC)=NC4=CC=CC=C24,118.2,AM-VII
ClC(C=C1)=CC=C1C2=CC(C(C=C3)=CC=C3C#C)=NC4=CC=CC=C24,124.8,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC(C)=CC=C3C)=NC4=CC=CC=C24,124.8,AM-VII
CC1=CC(C2=CC(Cl)=CC(Cl)=C2)=NC3=CC=CC=C13,126.6,AM-VII
CC1=CC(C2=CC=CC=C2OCC)=NC3=CC=CC=C13,76.8,AM-VII
CC1=CC(C(C=C2)=CC=C2C#C)=NC3=CC=CC=C13,102.0,AM-VII
CC1=CC(C2=CC(C)=CC=C2C)=NC3=CC=CC=C13,85.8,AM-VII
CCOC1=CC=CC=C1C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2,105.6,AM-VII
C#CC1=CC=C(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)C=C1,118.8,AM-VII
CC1=CC=C(C)C(C2=NC3=CC=CC=C3C(C4=CC=CC=C4)=C2)=C1,115.8,AM-VII
CC1=CC(C2=CC=CC=C2OCC)=NC3=CC=C(Br)C=C13,113.4,AM-VII
CC1=CC(C2=CC(C)=CC=C2C)=NC3=CC=C(Br)C=C13,115.8,AM-VII
CC1=CC=C(C)C(C2=NC3=CC=CC=C3C=C2)=C1,95.4,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C4=CC=CC=C4OCC)=N2)=C1,126.6,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3)=CC(C(C=C4)=CC=C4C#C)=N2)=C1,130.2,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC=C4OCC)=N2)=C1,122.4,AM-VII
ClC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C(C=C4)=CC=C4C#C)=N2)=C1,124.8,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC=CC=C4OCC)=N2)=C1,124.2,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C(C=C4)=CC=C4C#C)=N2)=C1,126.6,AM-VII
BrC1=CC=C2C(C(C3=CC=CC=C3F)=CC(C4=CC(C)=CC=C4C)=N2)=C1,128.4,AM-VII
BrC(C=C1)=CC=C1C2=CC(C3=CC=C(O)C=C3C)=NC4=CC=CC=C24,99.6,AM-VII
ClC(C=C1)=CC=C1C2=CC(C3=CC=CC(C)=C3)=NC4=CC=CC=C24,126.6,AM-VII
CC1=CC(C2=CC(F)=CC(F)=C2)=NC3=CC(OC)=C(OC)C=C13,99.6,AM-VII
